order_id,date,product,category,region,channel,sales_rep,quantity,unit_price,total_sales
ORD1000,2023-05-06,Phone,Electronics,South,Online,Alice,1,1117.49,1117.49
ORD1001,2023-01-16,Phone,Electronics,North,Online,Bob,19,644.44,12244.36
ORD1002,2023-11-29,Laptop,Electronics,West,Online,David,18,314.28,5657.04
ORD1003,2023-03-23,Keyboard,Accessories,West,In-Store,Carol,1,1143.03,1143.03
ORD1004,2023-06-22,Tablet,Electronics,North,Online,David,7,1436.68,10056.76
ORD1005,2023-11-06,Phone,Electronics,East,Online,David,12,1274.29,15291.48
ORD1006,2023-05-31,Phone,Electronics,East,Phone,Bob,13,136.62,1776.06
ORD1007,2023-05-29,Phone,Electronics,North,Online,Alice,2,998.67,1997.34
ORD1008,2023-07-06,Headphones,Accessories,South,In-Store,Carol,9,691.05,6219.45
ORD1009,2023-12-16,Monitor,Electronics,North,Phone,Bob,9,1058.69,9528.21
ORD1010,2023-05-19,Monitor,Electronics,South,Phone,Carol,6,704.15,4224.9
ORD1011,2023-06-11,Laptop,Electronics,West,In-Store,Alice,8,1236.27,9890.16
ORD1012,2023-06-11,Monitor,Electronics,South,Phone,David,19,1317.02,25023.38
ORD1013,2023-03-13,Headphones,Accessories,South,Phone,Eva,15,231.45,3471.75
ORD1014,2023-10-26,Keyboard,Accessories,West,In-Store,Bob,19,654.08,12427.52
ORD1015,2023-01-25,Tablet,Electronics,North,Online,Bob,17,750.4,12756.8
ORD1016,2023-07-15,Headphones,Accessories,West,Phone,Carol,20,114.02,2280.4
ORD1017,2023-10-02,Laptop,Electronics,East,Phone,Carol,4,1028.93,4115.72
ORD1018,2023-08-21,Phone,Electronics,North,Phone,Carol,10,663.45,6634.5
ORD1019,2023-11-17,Tablet,Electronics,East,Phone,Eva,17,1370.69,23301.73
ORD1020,2023-03-24,Monitor,Electronics,North,Phone,Carol,5,573.39,2866.95
ORD1021,2023-07-05,Webcam,Accessories,East,Online,Alice,1,185.56,185.56
ORD1022,2023-02-13,Monitor,Electronics,West,Online,Eva,19,1421.49,27008.31
ORD1023,2023-10-09,Tablet,Electronics,South,In-Store,Eva,5,996.43,4982.15
ORD1024,2023-12-20,Headphones,Accessories,South,Phone,Carol,7,1394.79,9763.53
ORD1025,2023-09-22,Headphones,Accessories,West,Online,Bob,12,668.39,8020.68
ORD1026,2023-10-29,Monitor,Electronics,South,Phone,Bob,3,520.37,1561.11
ORD1027,2023-01-31,Laptop,Electronics,South,Online,Alice,3,1067.6,3202.8
ORD1028,2023-05-23,Mouse,Accessories,West,Online,Eva,3,780.95,2342.85
ORD1029,2023-05-05,Tablet,Electronics,West,In-Store,Bob,19,872.79,16583.01
ORD1030,2023-07-01,Phone,Electronics,West,In-Store,David,4,995.29,3981.16
ORD1031,2023-06-23,Laptop,Electronics,North,Online,Bob,4,109.71,438.84
ORD1032,2023-08-05,Monitor,Electronics,South,In-Store,David,18,683.95,12311.1
ORD1033,2023-10-09,Monitor,Electronics,North,Online,Eva,3,675.83,2027.49
ORD1034,2023-05-02,Laptop,Electronics,South,In-Store,David,3,1391.02,4173.06
ORD1035,2023-01-31,Webcam,Accessories,South,In-Store,Alice,7,1299.68,9097.76
ORD1036,2023-08-21,Headphones,Accessories,East,In-Store,Eva,9,1391.25,12521.25
ORD1037,2023-04-22,Webcam,Accessories,North,Phone,Eva,5,301.05,1505.25
ORD1038,2023-10-27,Laptop,Electronics,West,Phone,Eva,11,104.6,1150.6
ORD1039,2023-02-11,Tablet,Electronics,South,Online,Eva,2,1441.95,2883.9
