date,product,region,units_sold,unit_price,revenue,customer_segment
2024-01-05,Laptop,North,12,75000,900000,Enterprise
2024-01-07,Phone,South,35,25000,875000,Consumer
2024-01-10,Tablet,East,20,35000,700000,SMB
2024-01-12,Laptop,West,8,75000,600000,Enterprise
2024-01-15,Phone,North,50,25000,1250000,Consumer
2024-01-18,Headphones,South,80,5000,400000,Consumer
2024-01-20,Laptop,East,15,75000,1125000,SMB
2024-01-22,Tablet,North,25,35000,875000,Consumer
2024-01-25,Phone,West,60,25000,1500000,Consumer
2024-01-28,Headphones,East,100,5000,500000,Consumer
2024-02-02,Laptop,South,10,75000,750000,Enterprise
2024-02-05,Phone,North,45,25000,1125000,Consumer
2024-02-08,Tablet,West,18,35000,630000,SMB
2024-02-12,Headphones,North,90,5000,450000,Consumer
2024-02-15,Laptop,East,20,75000,1500000,Enterprise
2024-02-18,Phone,South,55,25000,1375000,Consumer
2024-02-20,Tablet,East,30,35000,1050000,Enterprise
2024-02-22,Headphones,West,120,5000,600000,Consumer
2024-02-25,Laptop,West,14,75000,1050000,SMB
2024-02-28,Phone,East,70,25000,1750000,Consumer
2024-03-03,Laptop,North,18,75000,1350000,Enterprise
2024-03-06,Phone,West,65,25000,1625000,Consumer
2024-03-09,Tablet,South,22,35000,770000,Consumer
2024-03-12,Headphones,East,110,5000,550000,Consumer
2024-03-15,Laptop,South,25,75000,1875000,Enterprise
2024-03-18,Phone,North,80,25000,2000000,Consumer
2024-03-20,Tablet,West,28,35000,980000,SMB
2024-03-25,Headphones,North,130,5000,650000,Consumer
2024-03-28,Laptop,East,22,75000,1650000,Enterprise
2024-03-30,Phone,South,90,25000,2250000,Consumer
